Sample description: 
Sample:   c= 0.5 mg/ml  Code: 
Parent(s): 
 1.443591e+000  3.864220e+000  2.477798e-001
 1.448743e+000  3.785400e+000  2.465196e-001
 1.453895e+000  3.218620e+000  2.452252e-001
 1.459047e+000  3.499540e+000  2.458366e-001
 1.464199e+000  3.414320e+000  2.465280e-001
 1.469351e+000  3.519240e+000  2.433202e-001
 1.474503e+000  3.803040e+000  2.455740e-001
 1.479655e+000  3.381420e+000  2.449080e-001
 1.484807e+000  3.691260e+000  2.437746e-001
 1.489960e+000  3.719740e+000  2.433484e-001
 1.495112e+000  3.312140e+000  2.440000e-001
 1.500264e+000  3.422820e+000  2.418876e-001
 1.505416e+000  3.209020e+000  2.446444e-001
 1.510568e+000  4.041760e+000  2.438762e-001
 1.515720e+000  3.693660e+000  2.428392e-001
 1.520872e+000  3.564600e+000  2.428342e-001
 1.526024e+000  3.642120e+000  2.433548e-001
 1.531176e+000  3.887200e+000  2.420630e-001
 1.536328e+000  3.184860e+000  2.421406e-001
 1.541480e+000  3.694640e+000  2.424556e-001
 1.546632e+000  3.630960e+000  2.421350e-001
 1.551784e+000  3.805460e+000  2.427924e-001
 1.556936e+000  3.657080e+000  2.425250e-001
 1.562088e+000  3.495080e+000  2.397360e-001
 1.567240e+000  3.727020e+000  2.415308e-001
 1.572392e+000  3.122000e+000  2.409986e-001
 1.577544e+000  3.510020e+000  2.398638e-001
 1.582696e+000  4.050920e+000  2.414148e-001
 1.587848e+000  2.855040e+000  2.398872e-001
 1.593000e+000  3.614500e+000  2.392462e-001
 1.598152e+000  3.602940e+000  2.396938e-001
 1.603304e+000  3.662680e+000  2.399416e-001
 1.608456e+000  3.659720e+000  2.386922e-001
 1.613608e+000  3.776980e+000  2.390024e-001
 1.618760e+000  3.437180e+000  2.388598e-001
 1.623912e+000  3.347840e+000  2.384372e-001
 1.629064e+000  4.164280e+000  2.381820e-001
 1.634216e+000  3.692480e+000  2.403574e-001
 1.639368e+000  3.866480e+000  2.371978e-001
 1.644520e+000  3.582760e+000  2.376558e-001
 1.649672e+000  2.918100e+000  2.374876e-001
 1.654824e+000  3.353040e+000  2.367502e-001
 1.659976e+000  3.522580e+000  2.372166e-001
 1.665128e+000  3.176600e+000  2.370596e-001
 1.670280e+000  3.331020e+000  2.360726e-001
 1.675432e+000  3.229000e+000  2.358418e-001
 1.680584e+000  3.334280e+000  2.376008e-001
 1.685736e+000  3.436020e+000  2.360538e-001
 1.690888e+000  3.594860e+000  2.352150e-001
 1.696040e+000  3.216300e+000  2.370036e-001
 1.701192e+000  3.195520e+000  2.349204e-001
 1.706344e+000  3.088360e+000  2.340256e-001
 1.711496e+000  3.235100e+000  2.355738e-001
 1.716648e+000  3.722560e+000  2.352562e-001
 1.721800e+000  3.151840e+000  2.334022e-001
 1.726952e+000  3.485700e+000  2.368522e-001
 1.732104e+000  3.742720e+000  2.341942e-001
 1.737256e+000  3.540380e+000  2.321164e-001
 1.742408e+000  3.313140e+000  2.340008e-001
 1.747560e+000  3.037440e+000  2.332486e-001
 1.752712e+000  3.086900e+000  2.314488e-001
 1.757864e+000  3.260700e+000  2.336604e-001
 1.763016e+000  2.998620e+000  2.324058e-001
 1.768168e+000  3.092000e+000  2.313232e-001
 1.773321e+000  3.706500e+000  2.325054e-001
 1.778473e+000  3.096200e+000  2.307162e-001
 1.783625e+000  3.684720e+000  2.292102e-001
 1.788777e+000  3.446880e+000  2.318976e-001
 1.793929e+000  2.872560e+000  2.290772e-001
 1.799081e+000  3.113360e+000  2.286352e-001
 1.804233e+000  3.188480e+000  2.297212e-001
 1.809385e+000  2.911800e+000  2.293250e-001
 1.814537e+000  2.800740e+000  2.282144e-001
 1.819689e+000  2.971320e+000  2.289548e-001
 1.824841e+000  2.808400e+000  2.276620e-001
 1.829993e+000  3.170900e+000  2.278398e-001
 1.835145e+000  3.347540e+000  2.281570e-001
 1.840297e+000  2.970900e+000  2.276336e-001
 1.845449e+000  3.318320e+000  2.273854e-001
 1.850601e+000  3.103720e+000  2.282902e-001
 1.855753e+000  2.998080e+000  2.275024e-001
 1.860905e+000  3.159980e+000  2.258714e-001
 1.866057e+000  2.726820e+000  2.280018e-001
 1.871209e+000  2.813280e+000  2.261124e-001
 1.876361e+000  3.353300e+000  2.262774e-001
 1.881513e+000  2.586200e+000  2.271640e-001
 1.886665e+000  2.761300e+000  2.259432e-001
 1.891817e+000  3.068460e+000  2.257406e-001
 1.896969e+000  2.899840e+000  2.268214e-001
 1.902121e+000  2.970420e+000  2.262988e-001
 1.907273e+000  2.747840e+000  2.251502e-001
 1.912425e+000  2.797140e+000  2.257428e-001
 1.917577e+000  3.050040e+000  2.256300e-001
 1.922729e+000  2.601600e+000  2.238872e-001
 1.927881e+000  2.568400e+000  2.258916e-001
 1.933033e+000  2.663420e+000  2.246806e-001
 1.938185e+000  2.646360e+000  2.243762e-001
 1.943337e+000  2.416580e+000  2.258300e-001
 1.948489e+000  1.823360e+000  2.233494e-001
 1.953641e+000  2.303180e+000  2.226818e-001
 1.958793e+000  2.254740e+000  2.249984e-001
 1.963945e+000  2.678300e+000  2.233490e-001
 1.969097e+000  2.911400e+000  2.231906e-001
 1.974249e+000  2.711700e+000  2.241664e-001
 1.979401e+000  2.943700e+000  2.236320e-001
 1.984553e+000  2.282720e+000  2.225646e-001
 1.989705e+000  2.268380e+000  2.249084e-001
 1.994857e+000  2.342120e+000  2.223556e-001
 2.000009e+000  2.153200e+000  2.216920e-001
 2.005161e+000  2.565420e+000  2.228226e-001
 2.010313e+000  2.347980e+000  2.223572e-001
 2.015465e+000  2.728160e+000  2.217622e-001
 2.020617e+000  2.535080e+000  2.227184e-001
 2.025769e+000  2.843340e+000  2.226388e-001
 2.030921e+000  2.525280e+000  2.222612e-001
 2.036073e+000  2.102960e+000  2.224886e-001
 2.041225e+000  2.571260e+000  2.212374e-001
 2.046377e+000  2.353420e+000  2.207506e-001
 2.051529e+000  2.078280e+000  2.215368e-001
 2.056681e+000  2.302380e+000  2.208664e-001
 2.061834e+000  2.451220e+000  2.205694e-001
 2.066986e+000  2.233100e+000  2.206298e-001
 2.072138e+000  2.459820e+000  2.206940e-001
 2.077290e+000  2.142340e+000  2.203530e-001
 2.082442e+000  2.204600e+000  2.205518e-001
 2.087594e+000  2.532740e+000  2.203300e-001
 2.092746e+000  2.286720e+000  2.193108e-001
 2.097898e+000  2.326300e+000  2.204604e-001
 2.103050e+000  1.973840e+000  2.191818e-001
 2.108202e+000  2.379940e+000  2.203694e-001
 2.113354e+000  2.436560e+000  2.256102e-001
 2.118506e+000  2.231740e+000  2.266376e-001
 2.123658e+000  1.962940e+000  2.293434e-001
