Wavenumber,Intensity,DataPoint
2989.171,8.885111,654
2993.028,7.630273,655
2996.885,6.25145,656
3000.742,5.244583,657
3004.599,4.713491,658
3008.456,4.263525,659
3012.313,3.452994,660
3016.17,2.281424,661
3020.027,1.158228,662
3023.884,0.4802846,663
3027.741,0.3690483,664
3031.598,0.7505144,665
3035.455,1.47366,666
3039.312,2.275727,667
3043.169,2.789904,668
3047.026,2.755836,669
3050.883,2.236807,670
3054.74,1.586706,671
3058.597,1.206178,672
3062.454,1.300539,673
3066.311,1.761934,674
3070.168,2.2347,675
3074.025,2.405985,676
3077.882,2.348582,677
3081.739,2.52098,678
3085.596,3.303427,679
3089.453,4.552258,680
3093.31,5.732908,681
3097.167,6.498488,682
3101.024,7.017811,683
3104.881,7.702826,684
3108.738,8.735804,685
3112.595,9.9416,686
3116.452,11.02732,687
3120.309,11.82448,688
3124.166,12.32382,689
3128.023,12.59324,690
3131.88,12.71083,691
3135.737,12.73526,692
3139.594,12.69947,693
3143.451,12.62484,694
3147.308,12.53407,695
3151.165,12.44603,696
3155.022,12.37748,697
3158.879,12.36207,698
3162.736,12.44194,699
3166.593,12.61621,700
3170.45,12.81789,701
3174.307,12.96934,702
3178.164,13.04645,703
3182.021,13.06568,704
3185.878,13.03192,705
3189.735,12.93746,706
3193.592,12.80144,707
3197.449,12.66896,708
3201.306,12.56802,709
