Wavenumber,Intensity,DataPoint
2846.462,18.3244,617
2850.319,18.26737,618
2854.176,18.21592,619
2858.033,18.17135,620
2861.89,18.1318,621
2865.747,18.09519,622
2869.604,18.06064,623
2873.461,18.02735,624
2877.318,17.99395,625
2881.175,17.95922,626
2885.032,17.92232,627
2888.889,17.88249,628
2892.746,17.8396,629
2896.603,17.79474,630
2900.46,17.74916,631
2904.317,17.70242,632
2908.174,17.65318,633
2912.031,17.6012,634
2915.888,17.54755,635
2919.745,17.49324,636
2923.602,17.43991,637
2927.459,17.39198,638
2931.316,17.35528,639
2935.173,17.33161,640
2939.03,17.31536,641
2942.887,17.29667,642
2946.744,17.26782,643
2950.601,17.22702,644
2954.458,17.17781,645
2958.315,17.12637,646
2962.172,17.07859,647
2966.029,17.03854,648
2969.886,17.00871,649
2973.743,16.99023,650
2977.6,16.98081,651
2981.457,16.97318,652
2985.314,16.95955,653
2989.171,16.93921,654
2993.028,16.91747,655
2996.885,16.89348,656
3000.742,16.85429,657
3004.599,16.79052,658
3008.456,16.71725,659
3012.313,16.66615,660
3016.17,16.64797,661
3020.027,16.63316,662
3023.884,16.58533,663
3027.741,16.51104,664
3031.598,16.45715,665
3035.455,16.45317,666
3039.312,16.47374,667
3043.169,16.47035,668
3047.026,16.42527,669
3050.883,16.35722,670
3054.74,16.28686,671
3058.597,16.22222,672
3062.454,16.17302,673
3066.311,16.14921,674
3070.168,16.13925,675
3074.025,16.11572,676
3077.882,16.07307,677
3081.739,16.03481,678
3085.596,16.00951,679
3089.453,15.96796,680
3093.31,15.88859,681
3097.167,15.80153,682
3101.024,15.75251,683
3104.881,15.73613,684
3108.738,15.70322,685
3112.595,15.63238,686
3116.452,15.55717,687
3120.309,15.51608,688
3124.166,15.50915,689
3128.023,15.51624,690
3131.88,15.52837,691
3135.737,15.54206,692
3139.594,15.54508,693
3143.451,15.52861,694
3147.308,15.50028,695
3151.165,15.47005,696
3155.022,15.43558,697
3158.879,15.39318,698
3162.736,15.34762,699
3166.593,15.29901,700
3170.45,15.23702,701
3174.307,15.16346,702
3178.164,15.10307,703
3182.021,15.07258,704
3185.878,15.05378,705
3189.735,15.01868,706
3193.592,14.96839,707
3197.449,14.92334,708
3201.306,14.88473,709
